Eating time,Meal Category,Day_No,Holiday,Class after,Day
27,1,1,0,0,1
38,2,1,0,0,1
13,3,1,0,0,1
26,4,1,0,0,1
27,1,2,0,0,2
28,2,2,0,1,2
9,3,2,0,0,2
25,4,2,0,0,2
29,1,3,0,0,3
32,2,3,0,1,3
16,3,3,0,0,3
29,4,3,0,0,3
26,1,4,1,0,4
30,2,4,1,0,4
8,3,4,1,0,4
24,4,4,1,0,4
25,1,5,0,1,5
36,2,5,0,0,5
13,3,5,0,0,5
26,4,5,0,0,5
25,1,6,1,1,6
38,2,6,1,0,6
11,3,6,1,0,6
15,4,6,1,0,6
21,1,7,1,0,7
32,2,7,1,0,7
8,3,7,1,0,7
34,4,7,1,0,7
30,1,8,1,0,1
34,2,8,1,0,1
10,3,8,1,0,1
28,4,8,1,0,1
28,1,9,0,0,2
23,2,9,0,1,2
12,3,9,0,0,2
22,4,9,0,0,2
27,1,10,0,0,3
28,2,10,0,1,3
7,3,10,0,0,3
25,4,10,0,0,3
28,1,11,0,0,4
36,2,11,0,0,4
11,3,11,0,0,4
28,4,11,0,0,4
25,1,12,0,1,5
40,2,12,0,0,5
12,3,12,0,0,5
25,4,12,0,0,5
20,1,13,1,1,6
40,2,13,1,0,6
13,3,13,1,0,6
21,4,13,1,0,6
33,1,14,1,0,7
33,2,14,1,0,7
11,3,14,1,0,7
40,4,14,1,0,7